tag,step,value
Curriculum/action_rate_weight,0,-0.100000001
Curriculum/action_rate_weight,1,-0.100000001
Curriculum/action_rate_weight,2,-0.100000001
Curriculum/action_rate_weight,3,-0.100000001
Curriculum/action_rate_weight,4,-0.100000001
Curriculum/body_pose_range,0,0.0500000007
Curriculum/body_pose_range,1,0.0500000007
Curriculum/body_pose_range,2,0.0500000007
Curriculum/body_pose_range,3,0.0500000007
Curriculum/body_pose_range,4,0.0500000007
Curriculum/com_range,0,0.00300000026
Curriculum/com_range,1,0.00300000026
Curriculum/com_range,2,0.00300000026
Curriculum/com_range,3,0.00300000026
Curriculum/com_range,4,0.00300000026
Curriculum/head_com_range,0,0.00300000026
Curriculum/head_com_range,1,0.00300000026
Curriculum/head_com_range,2,0.00300000026
Curriculum/head_com_range,3,0.00300000026
Curriculum/head_com_range,4,0.00300000026
Curriculum/head_pose_bias_weight,0,0
Curriculum/head_pose_bias_weight,1,0
Curriculum/head_pose_bias_weight,2,0
Curriculum/head_pose_bias_weight,3,0
Curriculum/head_pose_bias_weight,4,0
Curriculum/head_pose_range,0,0.0700000003
Curriculum/head_pose_range,1,0.0700000003
Curriculum/head_pose_range,2,0.0700000003
Curriculum/head_pose_range,3,0.0700000003
Curriculum/head_pose_range,4,0.0700000003
Curriculum/standing_envs,0,0.0199999977
Curriculum/standing_envs,1,0.0199999977
Curriculum/standing_envs,2,0.0199999977
Curriculum/standing_envs,3,0.0199999977
Curriculum/standing_envs,4,0.0199999977
Episode_Metrics/mean_action_acc,0,0
Episode_Metrics/mean_action_acc,1,1.82977974
Episode_Metrics/mean_action_acc,2,1.84789121
Episode_Metrics/mean_action_acc,3,1.9420296
Episode_Metrics/mean_action_acc,4,1.94283164
Episode_Reward/action_rate_l2,0,0
Episode_Reward/action_rate_l2,1,-0.0856731758
Episode_Reward/action_rate_l2,2,-0.0910348371
Episode_Reward/action_rate_l2,3,-0.115928628
Episode_Reward/action_rate_l2,4,-0.102614053
Episode_Reward/air_time,0,0
Episode_Reward/air_time,1,0.00668749958
Episode_Reward/air_time,2,0.00862499978
Episode_Reward/air_time,3,0.0118749989
Episode_Reward/air_time,4,0.0132499998
Episode_Reward/angular_momentum,0,0
Episode_Reward/angular_momentum,1,-1.37143715e-07
Episode_Reward/angular_momentum,2,-1.29421963e-07
Episode_Reward/angular_momentum,3,-1.43319582e-07
Episode_Reward/angular_momentum,4,-1.41067446e-07
Episode_Reward/body_ang_vel,0,0
Episode_Reward/body_ang_vel,1,-0.0267956909
Episode_Reward/body_ang_vel,2,-0.0199164841
Episode_Reward/body_ang_vel,3,-0.0262338314
Episode_Reward/body_ang_vel,4,-0.0247868896
Episode_Reward/body_pose_tracking,0,0
Episode_Reward/body_pose_tracking,1,0
Episode_Reward/body_pose_tracking,2,0
Episode_Reward/body_pose_tracking,3,0
Episode_Reward/body_pose_tracking,4,0
Episode_Reward/dof_pos_limits,0,0
Episode_Reward/dof_pos_limits,1,-0.000821687572
Episode_Reward/dof_pos_limits,2,-0.000604729401
Episode_Reward/dof_pos_limits,3,-0.00100470276
Episode_Reward/dof_pos_limits,4,-0.000757311063
Episode_Reward/foot_clearance,0,0
Episode_Reward/foot_clearance,1,-0.000315419922
Episode_Reward/foot_clearance,2,-0.00042892035
Episode_Reward/foot_clearance,3,-0.000341864623
Episode_Reward/foot_clearance,4,-0.000321279862
Episode_Reward/foot_slip,0,0
Episode_Reward/foot_slip,1,-9.63816783e-05
Episode_Reward/foot_slip,2,-5.06295764e-05
Episode_Reward/foot_slip,3,-7.92134306e-05
Episode_Reward/foot_slip,4,-8.37438201e-05
Episode_Reward/foot_swing_height,0,0
Episode_Reward/foot_swing_height,1,-0.00157828012
Episode_Reward/foot_swing_height,2,-0.00167385431
Episode_Reward/foot_swing_height,3,-0.00170533021
Episode_Reward/foot_swing_height,4,-0.00315889972
Episode_Reward/head_pose_bias,0,0
Episode_Reward/head_pose_bias,1,0
Episode_Reward/head_pose_bias,2,0
Episode_Reward/head_pose_bias,3,0
Episode_Reward/head_pose_bias,4,0
Episode_Reward/head_pose_tracking,0,0
Episode_Reward/head_pose_tracking,1,0.0526914634
Episode_Reward/head_pose_tracking,2,0.0575269349
